Page,specific_name,name_fixed,lang_domain,access_type,access_origin,language,domain
アルベルト・アインシュタイン_ja.wikipedia.org_all-access_spider,アルベルト・アインシュタイン,アルベルト・アインシュタイン,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
File:FinM1.webm_commons.wikimedia.org_desktop_all-agents,File:FinM1.webm,File:FinM1.webm,commons.wikimedia.org,desktop,all-agents,commons,wikimedia.org
File:BYR_color_wheel.svg_commons.wikimedia.org_mobile-web_all-agents,File:BYR_color_wheel.svg,File:BYR_color_wheel.svg,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
"Суинтон,_Тильда_ru.wikipedia.org_all-access_spider","Суинтон,_Тильда","Суинтон,_Тильда",ru.wikipedia.org,all-access,spider,ru,wikipedia.org
古力娜扎_zh.wikipedia.org_all-access_all-agents,古力娜扎,古力娜扎,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
Commons:Wiki_Loves_Africa_2016/Participate-a/en_commons.wikimedia.org_all-access_spider,Commons:Wiki_Loves_Africa_2016/Participate-a/en,Commons:Wiki_Loves_Africa_2016/Participate-a/en,commons.wikimedia.org,all-access,spider,commons,wikimedia.org
Аббатство_Даунтон_ru.wikipedia.org_all-access_spider,Аббатство_Даунтон,Аббатство_Даунтон,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Extension:CheckUser/de_www.mediawiki.org_mobile-web_all-agents,Extension:CheckUser/de,Extension:CheckUser/de,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
Jurassic_Park_(film)_en.wikipedia.org_all-access_spider,Jurassic_Park_(film),Jurassic_Park_(film),en.wikipedia.org,all-access,spider,en,wikipedia.org
Caterine_Ibargüen_es.wikipedia.org_desktop_all-agents,Caterine_Ibargüen,Caterine_Ibargüen,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Special:Search_ja.wikipedia.org_desktop_all-agents,Special:Search,Special:Search,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
沒關係，是愛情啊_zh.wikipedia.org_all-access_all-agents,沒關係，是愛情啊,"沒關係,是愛情啊",zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
Orgasmo_es.wikipedia.org_mobile-web_all-agents,Orgasmo,Orgasmo,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
Deaths_in_September_2007_en.wikipedia.org_all-access_all-agents,Deaths_in_September_2007,Deaths_in_September_2007,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
X-Men:_Erste_Entscheidung_de.wikipedia.org_desktop_all-agents,X-Men:_Erste_Entscheidung,X-Men:_Erste_Entscheidung,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
水野由結_ja.wikipedia.org_all-access_spider,水野由結,水野由結,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Hélène_et_les_Garçons_fr.wikipedia.org_all-access_all-agents,Hélène_et_les_Garçons,Hélène_et_les_Garçons,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Corinne_Masiero_fr.wikipedia.org_all-access_spider,Corinne_Masiero,Corinne_Masiero,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
Angelique_Boyer_es.wikipedia.org_mobile-web_all-agents,Angelique_Boyer,Angelique_Boyer,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
下一站，幸福_zh.wikipedia.org_mobile-web_all-agents,下一站，幸福,"下一站,幸福",zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
香取慎吾_ja.wikipedia.org_all-access_spider,香取慎吾,香取慎吾,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
File:VK.com-logo.svg_commons.wikimedia.org_all-access_all-agents,File:VK.com-logo.svg,File:VK.com-logo.svg,commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
Бэйн_(DC_Comics)_ru.wikipedia.org_all-access_all-agents,Бэйн_(DC_Comics),Бэйн_(DC_Comics),ru.wikipedia.org,all-access,all-agents,ru,wikipedia.org
山賀琴子_ja.wikipedia.org_mobile-web_all-agents,山賀琴子,山賀琴子,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
許キン_ja.wikipedia.org_desktop_all-agents,許キン,許キン,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Wincent_Weiss_de.wikipedia.org_all-access_spider,Wincent_Weiss,Wincent_Weiss,de.wikipedia.org,all-access,spider,de,wikipedia.org
シガニー・ウィーバー_ja.wikipedia.org_mobile-web_all-agents,シガニー・ウィーバー,シガニー・ウィーバー,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Christian_Kohlund_de.wikipedia.org_all-access_spider,Christian_Kohlund,Christian_Kohlund,de.wikipedia.org,all-access,spider,de,wikipedia.org
おくさまが生徒会長!_ja.wikipedia.org_all-access_spider,おくさまが生徒会長!,おくさまが生徒会長!,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Potentiometer_de.wikipedia.org_all-access_spider,Potentiometer,Potentiometer,de.wikipedia.org,all-access,spider,de,wikipedia.org
Extension:Echo_www.mediawiki.org_all-access_spider,Extension:Echo,Extension:Echo,www.mediawiki.org,all-access,spider,www,mediawiki.org
