,name,Population
0,Afghanistan,34.169723
1,Albania,2.881823
2,Algeria,39.917696
3,Andorra,1e-06
4,Angola,28.607677
5,Antigua and Barbuda,0.090243
6,Argentina,43.453938
7,Armenia,2.872774
8,Australia,23.993604
9,Austria,8.689619
10,Azerbaijan,9.918445
11,Bahamas,1e-06
12,Bahrain,1.384642
13,Bangladesh,158.738023
14,Barbados,0.278355
15,Belarus,9.704497
16,Belgium,11.280752
17,Belize,0.363389
18,Benin,11.085736
19,Bermuda,1e-06
20,Bhutan,0.746371
21,Bolivia,11.171687
22,Bosnia and Herzegovina,3.503362
23,Botswana,2.327128
24,Brazil,205.984206
25,Brunei,1e-06
26,Bulgaria,7.279311
27,Burkina Faso,18.979982
28,Burundi,10.808248
29,Cabo Verde,0.555059
30,Cambodia,15.515057
31,Cameroon,23.344807
32,Canada,35.903299
33,Cayman Islands,1e-06
34,Central African Republic,4.854065
35,Chad,14.348908
36,Chile,17.964102
37,China,1397.562582
38,Colombia,47.340852
39,Comoros,0.737762
40,Congo (Congo-Brazzaville),1e-06
41,Costa Rica,4.918967
42,Croatia,4.240214
43,Cuba,11.341733
44,Cyprus,1.192247
45,Czech Republic,10.525844
46,Denmark,5.691179
47,Djibouti,1.014292
48,Dominica,1e-06
49,Dominican Republic,10.463508
50,East Timor (Timor-Leste),1e-06
51,Ecuador,16.310609
52,Egypt,1e-06
53,El Salvador,6.240544
54,Equatorial Guinea,1.371452
55,Eritrea,3.350917
56,Estonia,1.315247
57,Swaziland,1.137935
58,Ethiopia,103.788752
59,Fiji,0.917822
60,Finland,5.487123
61,France,63.897092
62,Gabon,2.056228
63,Gambia,1e-06
64,Georgia,3.770931
65,East Germany,1e-06
66,West Germany,1e-06
67,Germany,82.187588
68,Ghana,29.193282
69,Greece,10.779639
70,Grenada,0.119444
71,Guatemala,16.137445
72,Guinea,11.768478
73,Guinea-Bissau,1.810443
74,Guyana,0.757312
75,Haiti,10.634565
76,Honduras,9.373023
77,Hong Kong,1e-06
78,Hungary,9.830964
79,Iceland,0.332918
80,India,1330.290669
81,Indonesia,260.408575
82,Iran,1e-06
83,Iraq,38.206541
84,Ireland,4.688703
85,Israel,8.078405
86,Italy,60.178101
87,Jamaica,2.798614
88,Japan,127.128592
89,Jordan,9.758126
90,Kazakhstan,17.950647
91,Kenya,47.339154
92,Kiribati,0.117547
93,North Korea,1e-06
94,South Korea,1e-06
95,Kosovo,1.755395
96,Kuwait,3.983639
97,Kyrgyzstan,1e-06
98,Laos,1e-06
99,Latvia,1.983181
100,Lebanon,6.344921
101,Lesotho,2.130211
102,Liberia,4.656665
103,Libya,6.235033
104,Liechtenstein,1e-06
105,Lithuania,2.949409
106,Luxembourg,0.575987
107,Madagascar,25.155487
108,Malawi,17.158173
109,Malaysia,31.285166
110,Maldives,0.444479
111,Mali,18.38558
112,Malta,0.461715
113,Marshall Islands,1e-06
114,Mauritania,3.995714
115,Mauritius,1.293516
116,Mexico,120.797829
117,Micronesia,0.524738
118,Moldova,3.251823
119,Monaco,1e-06
120,Mongolia,2.995048
121,Montenegro,0.633652
122,Morocco,34.882374
123,Mozambique,27.239638
124,Myanmar,51.677032
125,Namibia,2.301761
126,Nauru,1e-06
127,Nepal,27.716345
128,Netherlands,1e-06
129,New Zealand,4.627274
130,Nicaragua,6.341277
131,Niger,20.498079
132,Nigeria,186.178555
133,North Macedonia,1e-06
134,Norway,5.212857
135,Oman,4.290649
136,Pakistan,212.170383
137,Palau,1e-06
138,Palestine,1e-06
139,Panama,3.989653
140,Papua New Guinea,8.784685
141,Paraguay,6.21963
142,Peru,30.90454
143,Philippines,103.89011
144,Poland,38.540726
145,Portugal,10.34875
146,Puerto Rico,3.467123
147,Qatar,2.505211
148,Romania,19.855408
149,Russia,1e-06
150,Soviet Union,1e-06
151,Rwanda,11.776857
152,Saint Kitts and Nevis,1e-06
153,Saint Lucia,1e-06
154,Saint Vincent and the Grenadines,1e-06
155,Samoa,0.204476
156,San Marino,1e-06
157,Sao Tome and Principe,0.20279
158,Saudi Arabia,33.052783
159,Senegal,14.541369
160,Serbia,7.507312
161,Seychelles,0.099828
162,Sierra Leone,7.398336
163,Singapore,5.680962
164,Slovakia,1e-06
165,Slovenia,2.085022
166,Solomon Islands,0.619929
167,Somalia,14.002825
168,South Africa,56.223481
169,South Sudan,11.163988
170,Spain,46.442484
171,Sri Lanka,21.379645
172,Sudan,38.732283
173,Suriname,0.578272
174,Sweden,9.898124
175,Switzerland,8.325407
176,Syria,1e-06
177,Taiwan,1e-06
178,Tajikistan,8.618904
179,Tanzania,53.410312
180,Thailand,70.442046
181,Togo,7.561454
182,Tonga,0.105907
183,Trinidad and Tobago,1.464875
184,Tunisia,11.618292
185,Turkey,80.322135
186,Turkmenistan,5.814841
187,Tuvalu,1e-06
188,Uganda,38.059149
189,Ukraine,44.912763
190,United Arab Emirates,8.953876
191,United Kingdom,65.428953
192,United States,325.826238
193,Uruguay,3.407907
194,Uzbekistan,31.188341
195,Vanuatu,0.2796
196,Vatican City,1e-06
197,Venezuela,1e-06
198,Vietnam,92.635828
199,Yemen,1e-06
200,Zambia,16.491819
201,Zimbabwe,14.295536
